Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Business expenditure on R&D (BERD) in Million Euro   Manufacture of computer, electronic and optical products",Germany,5815.4,5994.8,6563.4,7391.8,7341.9,7506.7,7541.4,7637.1,7739.4,8280.6
Business expenditure on R&D (BERD) in Million Euro   Manufacture of machinery and equipment n.e.c.,Germany,4498.5,4597.1,4902.5,5182.6,5388.2,5650.6,5459.5,5652.5,7116.7,7111.1
Business expenditure on R&D (BERD) in Million Euro   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Germany,3896,3736.8,4069.7,4092,4074.9,4034.6,3956.1,4517.9,4630.9,5226.4
Business expenditure on R&D (BERD) in Million Euro   Manufacture of chemicals and chemical products,Germany,3197.8,3124,3296.7,3495.8,3346.6,3628.7,3786.1,3913.2,4065.1,4193.4
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of coke and refined petroleum products,Spain,,,,,,,,67.2,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of other transport equipment,Spain,,,,,,,,38.7,,
"Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of motor vehicles, trailers and semi-trailers",Spain,,,,,,,,30.8,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of leather and related products,Spain,,,,,,,,26.7,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Other manufacturing,Spain,,,,,,,,23,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of electrical equipment,Spain,,,,,,,,22.8,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of furniture,Spain,,,,,,,,22.1,,
Turnover of product innovative enterprises from new or significantly improved products to the market as percentage of total turnover   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Spain,,,,,,,,21,,
Business expenditure on R&D (BERD) in Million Euro   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Spain,664,629,636,587,568,578,593,631,698,755
Business expenditure on R&D (BERD) in Million Euro   Manufacture of other transport equipment,Spain,468,573,673,598,568,508,549,568,607,661
"Business expenditure on R&D (BERD) in Million Euro   Manufacture of motor vehicles, trailers and semi-trailers",Spain,348,382,357,341,328,375,367,440,508,522
Business expenditure on R&D (BERD) in Million Euro   Manufacture of chemicals and chemical products,Spain,238,249,242,235,239,233,230,239,268,283
Business expenditure on R&D (BERD) in Million Euro   Manufacture of machinery and equipment n.e.c.,Spain,244,216,224,227,218,211,222,229,242,274
Business expenditure on R&D (BERD) in Million Euro   Manufacture of food products; beverages and tobacco products,Spain,208,198,194,187,186,185,181,206,232,260
"Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of motor vehicles, trailers and semi-trailers",Spain,4401.70,5732.00,5598.00,5541.00,5277.00,7046.00,5771.00,7139.00,7146.00,9428.00
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of machinery and equipment n.e.c.,Spain,5890.00,5344.00,5495.00,5369.00,5103.00,5013.00,5352.00,5463.00,5755.00,6759.00
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of food products; beverages and tobacco products,Spain,5416.00,5308.00,5258.00,5.19,5295.00,5282.00,5123.00,5256.00,5868.00,6325.00
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of other transport equipment,Spain,4892.00,5234.00,5532.00,5059.00,4965.00,4624.00,4974.00,4986.00,5544.00,6295.00
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of basic pharmaceutical products and pharmaceutical preparations,Spain,5121.00,5193.00,5251.00,43987.00,5067.00,5116.00,5513.00,5527.00,5787.00,5844.00
Total R&D personnel and researchers in business enterprise sector in FTE   Manufacture of chemicals and chemical products,Spain,4943.00,4848.00,4708.00,4715.00,4723.00,4759.00,5159.00,5023.00,5541.00,5688.00
