Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gross Investment in Tangible Goods (Million Euro) in Manufacture of rubber and plastic products,Spain,686.1,586.7,687.9,665.9,691,783.4,964.9,903.7,"1,070.30","1,185.80"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of beverages,Spain,745.6,796.2,676.6,786.5,733.5,800.6,990.6,"1,011","1,135.80","1,114.90"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of other non-metallic mineral products,Spain,"1,335.50","1,007.90",951.7,625.7,629,499.5,550.9,691,792.3,"1,106.20"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,Spain,931.9,801.7,673.5,981.9,571.5,565.4,592.7,646.8,927.2,"1,005"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Spain,"39,260","39,261","37,535","35,736","35,074","33,371","33,045","32,860","32,675","32,408"
Firms (Number) in Manufacture of food products,Spain,"23,114","23,471","23,165","22,961","22,619","22,445","22,215","22,537","23,151","24,437"
Firms (Number) in Repair and installation of machinery and equipment,Spain,"11,771","10,629","10,536","10,107","10,576","10,782","10,890","11,446","12,633","13,698"
Firms (Number) in Printing and reproduction of recorded media,Spain,"15,669","15,332","14,821","14,361","14,383","13,979","13,479","13,456","13,032","13,493"
Firms (Number) in Manufacture of furniture,Spain,"15,155","15,577","14,758","14,058","12,611","12,355","11,882","11,802","11,668","11,554"
Value Added (Million Euro) in Manufacture of food products,Spain,"14,819.40","15,539.60","15,991.80","15,052.90","15,083.50","15,710.50","15,199.80","15,654.40","16,375.90","17,753"
"Value Added (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Spain,"11,636.90","11,268.90","10,801","9,741","9,371.30","9,704.10","9,988.50","10,346","11,165.40","12,193.30"
"Value Added (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Spain,"7,071.40","8,110.70","8,463.10","7,637.80","8,348.80","9,881.80","10,179.90","10,772.20","11,263.60","11,759.90"
Value Added (Million Euro) in Manufacture of chemicals and chemical products,Spain,"5,986","7,318.70","7,791.90","7,072.50","6,687.80","7,073.50","7,876","8,466.80","8,942.70","8,889.60"
Value Added (Million Euro) in Manufacture of machinery and equipment n.e.c.,Spain,"5,897.40","5,938.70","5,851.40","5,723.70","5,623.80","6,125.90","5,944.40","5,950","6,368.70","6,846.30"
Value Added (Million Euro) in Manufacture of rubber and plastic products,Spain,"4,921","5,373.90","5,200.90","5,039.80","5,278.40","5,368.50","5,716.60","5,725.50","5,961.60","6,287.10"
